user_id,book_id,rating,timestamp
1,1,5,964982703
2,2,4,964981247
2,3,5,964982224
2,4,5,964983815
2,5,3,964982931
2,6,4,964982400
2,7,3,964980868
2,8,4,964982176
2,9,5,964984041
2,10,5,964984100
2,11,5,964983650
2,12,5,964981208
4,13,4,964980985
4,14,3,964981179
4,15,4,964980908
4,16,5,964981680
4,17,5,964982967
4,18,5,964982310
4,19,5,964981179
4,20,5,964982563
4,21,5,964980962
4,22,4,964982588
4,23,5,964981710
4,24,2,964982363
4,25,5,964980868
4,26,3,964981909
4,27,4,964982346
4,28,3,964981208
4,29,4,964984002
4,30,4,964981179
4,31,3,964982653
4,32,3,964984153
4,33,2,964982546
4,34,4,964982271
4,35,4,964983793
4,36,4,964982838
4,37,4,964982931
4,38,4,964982563
4,39,4,964982838
4,40,4,964981775
4,41,4,964982400
4,42,5,964982653
4,43,3,964984086
6,44,4,964980499
8,45,5,964982475
8,46,3,964981529
8,47,4,964982176
8,48,5,964983614
8,49,4,964983219
8,50,4,964981775
8,51,5,964982681
8,52,5,964982876
8,53,4,964982791
8,54,5,964982855
8,55,5,964982903
8,56,5,964982653
8,57,4,964982791
8,58,5,964981179
8,59,3,964982400
8,60,5,964980924
8,61,5,964981680
8,62,3,964981327
8,63,5,964982951
8,64,5,964984018
4,65,5,964983484
4,66,2,964981680
4,67,5,964982513
4,68,5,964981327
4,69,4,964981827
4,70,4,964981872
4,71,4,964981827
4,72,3,964983737
4,73,5,964983250
4,74,3,964980499
4,75,4,964982951
1,76,3,964981855
1,77,3,964983393
1,78,3,964981909
1,79,5,964981909
1,80,3,964984018
1,81,3,964983618
1,82,3,964983723
4,83,3,964981442
4,84,4,964983414
4,85,5,964983599
4,86,4,964983705
4,87,4,964982290
4,88,4,964983414
4,89,3,964982703
4,90,3,964981909
4,91,5,964984086
4,92,4,964983393
4,93,4,964982653
4,94,4,964983017
4,95,4,964982310
4,96,4,964984112
4,97,3,964980875
4,98,4,964980985
4,99,4,964981107
4,100,4,964982620
4,101,4,964982290
4,102,5,964981125
4,103,4,964982346
4,104,3,964982951
4,105,3,964983056
4,106,3,964983504
4,107,3,964983536
9,108,3,964982620
9,109,4,964981125
9,110,5,964981230
9,111,4,964981404
9,112,4,964983034
9,113,5,964983056
9,114,4,964981780
9,115,4,964981497
9,116,5,964982176
9,117,4,964981710
9,118,4,964982211
9,119,3,964981710
9,120,2,964984176
9,121,1,964980523
9,122,1,964981888
9,123,5,964982903
9,124,2,964982563
9,125,3,964982791
9,126,4,964981747
9,127,5,964982400
9,128,4,964982838
9,129,2,964982838
9,130,1,964981710
9,131,5,964982653
9,132,5,964982838
9,133,4,964982588
9,134,5,964981725
9,135,5,964982529
9,136,4,964982876
9,137,5,964982791
9,138,3,964982791
9,139,2,964982838
9,140,2,964981725
9,141,2,964981710
9,142,2,964981680
9,143,2,964981710
9,144,2,964981775
9,145,2,964982989
9,146,2,964982310
9,147,2,964983664
9,148,2,964983263
9,149,2,964983546
9,150,4,964983861
9,151,4,964982462
9,152,2,964983123
9,153,2,964983094
9,154,5,964981093
9,155,2,964982310
9,156,5,964982513
9,157,4,964982242
9,158,4,964982620
